time,type,entry,vi,exit,exit_time,pnl,reason
2025-05-24,LONG,107822.57589999998,0.24450081255804004,108067.79403775549,2025-05-25,1.1366824083656848,stop_loss
2025-05-26,LONG,109511.34940714284,0.48035952546526106,109468.249638404,2025-05-27,-0.1967258470463226,stop_loss
2025-05-30,SHORT,103829.95117857143,-0.2078476822103205,104182.76066242857,2025-05-31,-1.6984574554547747,stop_loss
2025-06-03,SHORT,105210.36682857144,-0.3066220048267769,105271.38931821154,2025-06-04,-0.28986427750869886,stop_loss
2025-06-05,SHORT,101342.79886428572,-0.5059698336073949,102129.21487167111,2025-06-06,-3.8780211206611055,stop_loss
2025-06-09,LONG,110352.85943571427,0.21365864149105196,109140.07939474631,2025-06-10,-5.490105611379394,stop_loss
2025-06-13,LONG,106147.6423,0.23802595708212274,104992.42772351211,2025-06-14,-1.952976569560015,stop_loss
2025-06-15,LONG,105654.34281428572,0.34673115638304847,107688.23340283695,2025-06-16,5.589904754656753,stop_loss
2025-06-29,LONG,108432.4728,0.2243817823095691,107574.59644565194,2025-06-30,-3.951546117035153,stop_loss
2025-07-01,LONG,105756.47497142857,0.40967251449953207,108471.06086131444,2025-07-02,12.815235046122375,stop_loss
2025-07-03,LONG,109668.85887857144,0.34149111939472643,108512.7474422215,2025-07-04,-2.3416480370816672,stop_loss
2025-07-09,LONG,111321.55947142857,0.31607997156875783,116196.27932989123,2025-07-10,12.958664009753017,stop_loss
2025-07-11,LONG,117630.68853571429,0.5946007009260103,116864.7981622908,2025-07-12,-3.2583180710979303,stop_loss
2025-07-14,LONG,119950.92921428572,0.726164354512551,118586.05836633808,2025-07-15,-5.692382778620672,stop_loss
2025-07-16,LONG,118724.02002142859,0.5529371758448333,119606.89289356815,2025-07-17,3.7180795705358314,stop_loss
2025-07-18,LONG,118030.11865,0.3626940040559779,117138.23070847572,2025-07-19,-3.7795311840462213,stop_loss
2025-07-22,LONG,120131.22516428572,0.21277610422886703,118808.83448311582,2025-07-23,-5.503770382713966,stop_loss
2025-07-25,SHORT,117450.33771428572,-0.2558053963699388,118419.2123582263,2025-07-26,-4.122216051760782,stop_loss
2025-07-28,SHORT,117908.73252857142,-0.22089487421382442,118224.29082286889,2025-07-29,-1.3368170120686955,stop_loss
2025-07-30,SHORT,117639.29042857143,-0.4673600886967329,116658.2043098477,2025-07-31,4.165191503152476,stop_loss
2025-08-01,SHORT,113117.8737,-0.7841512794361127,113156.18957372585,2025-08-02,-0.1692422246231377,stop_loss
2025-08-03,SHORT,114022.51291428572,-0.6080422544453551,115323.10759973865,2025-08-04,-5.6990863797422735,stop_loss
2025-08-05,SHORT,113942.67215000001,-0.7265287019635869,114564.59715559427,2025-08-06,-2.7255730803487013,stop_loss
2025-08-07,SHORT,117289.4711,-0.29882966095855196,117137.84269563729,2025-08-08,0.2930999677303921,stop_loss
2025-08-16,SHORT,117197.68319285713,-0.21847324010548172,118425.39374641288,2025-08-17,-5.229707828247224,stop_loss
2025-08-19,SHORT,112696.20697857143,-0.3620341337045546,113553.26961836677,2025-08-20,-3.794689857786235,stop_loss
2025-08-21,SHORT,112334.79687142857,-0.2915091821376147,112870.69900449658,2025-08-22,-0.91528400372761,stop_loss
2025-08-25,SHORT,109936.42942857143,-0.3516541929331833,109772.7053221433,2025-08-26,0.2328996537909676,stop_loss
2025-08-27,SHORT,111066.54520714286,-0.23588226486779215,112046.35005517914,2025-08-28,-4.399816234798692,stop_loss
2025-08-29,SHORT,108207.69234999998,-0.2921008124207195,108478.77397192531,2025-08-30,-1.2489027701635598,stop_loss
2025-09-01,SHORT,109062.12877857142,-0.21515250234897734,109541.85032401345,2025-09-02,-2.1925401814673515,stop_loss
2025-09-03,LONG,111787.74851428572,0.3375276595811308,110888.06596932,2025-09-04,-1.6957158719095897,stop_loss
2025-09-14,LONG,115336.49014285715,0.29677586678488965,115465.48662973652,2025-09-15,0.37098390965525013,stop_loss
2025-09-16,LONG,116874.8488,0.48190008737193096,115966.65968764981,2025-09-17,-3.871991064857065,stop_loss
2025-09-18,LONG,117144.76245714286,0.4544936400384578,116106.09242152926,2025-09-19,-4.416366859273747,stop_loss
2025-09-23,SHORT,111824.91542857142,-0.2048092518588559,112166.25711984688,2025-09-24,-1.5197378242690605,stop_loss
2025-09-25,SHORT,108814.59992857144,-0.4921175299213748,109772.19771614656,2025-09-26,-4.380741403402379,stop_loss
2025-09-27,SHORT,109457.03409285715,-0.409908469241402,110349.33914166717,2025-09-28,-4.05630185619688,stop_loss
2025-10-02,LONG,120614.41662142857,0.3774528622870077,122524.8141186952,2025-10-03,7.877857595380659,stop_loss
2025-10-04,LONG,122479.24137857143,0.6977553024061761,124478.94259227008,2025-10-05,8.126993117044368,stop_loss
2025-10-06,LONG,124767.70646428573,0.7980283057487986,123707.29083309633,2025-10-07,-4.234044766371166,stop_loss
2025-10-08,LONG,123376.36432142858,0.5322307791811564,122364.71014108555,2025-10-09,-2.1514472595995877,stop_loss
2025-10-14,SHORT,112845.34541428572,-0.2601809029921556,111334.20285129525,2025-10-15,6.666916132137688,stop_loss
2025-10-17,SHORT,106246.17418571429,-0.5777381443199531,107466.0726596184,2025-10-18,-5.720107169936256,stop_loss
2025-10-19,SHORT,108451.7850142857,-0.2489824328754824,108585.15936224263,2025-10-20,-0.6123223149316006,stop_loss
2025-10-21,SHORT,108118.53151428571,-0.34729989778696707,107558.08419234048,2025-10-22,2.580788690518901,stop_loss
2025-10-23,SHORT,109889.22924285714,-0.37384493724943985,110877.2288246421,2025-10-24,-4.477462138926348,stop_loss
2025-10-26,LONG,114630.74997857143,0.2508432086390792,115082.4433404452,2025-10-27,1.9614519023806654,stop_loss
2025-10-29,SHORT,109857.24850714287,-0.37142609285012423,107387.7251816131,2025-10-30,11.191931060343475,stop_loss
2025-11-02,SHORT,110367.26863571428,-0.21832231136863745,106476.86451524889,2025-11-03,17.569633304575436,stop_loss
2025-11-04,SHORT,101330.6484857143,-0.6169081584559881,100017.16471661448,2025-11-05,6.472269915887724,stop_loss
2025-11-06,SHORT,101185.02786428572,-0.3934273323313288,100311.72125185345,2025-11-07,4.312255603677363,stop_loss
2025-11-14,SHORT,94428.39652857142,-0.4575631757344565,95586.92775514995,2025-11-15,-6.132625311367896,stop_loss
2025-11-16,SHORT,94104.4837642857,-0.5360123123173117,92277.4235432703,2025-11-17,9.698787792288076,stop_loss
2025-11-18,SHORT,92802.5045642857,-0.4391347683771681,89560.06778746346,2025-11-19,17.47060539309114,stop_loss
2025-11-20,SHORT,86492.54012857143,-0.6472396370417345,81509.2858582576,2025-11-21,16.3513802097001,stop_loss
2025-11-22,SHORT,84581.77884999999,-0.6767406831050925,85576.0333428961,2025-11-23,-5.89769895788109,stop_loss
2025-11-24,SHORT,88135.62515,-0.4085709022294448,87030.80880063554,2025-11-25,6.285578112190692,stop_loss
2025-11-26,SHORT,90325.45154285715,-0.23457110015289598,91036.21052219637,2025-11-27,-3.9481245740321564,stop_loss
2025-12-05,SHORT,89182.15117857142,-0.24207664707890666,89865.45560456462,2025-12-06,-3.842767314872737,stop_loss
2025-12-10,LONG,92086.48639285714,0.24375679594850558,92501.30895127346,2025-12-11,1.0539145498703704,stop_loss
2025-12-17,SHORT,86098.06775714287,-0.23761733918554015,85355.87431587675,2025-12-18,4.322259037477036,stop_loss
2025-12-20,SHORT,88214.82334285714,-0.43508964731684036,88529.12308094227,2025-12-21,-1.7872142026042865,stop_loss
2025-12-22,SHORT,88476.15096428571,-0.34919075130347454,87504.5116449343,2025-12-23,5.507768446331742,stop_loss
2025-12-27,LONG,87931.42425714286,0.21936817146716256,89366.93190265175,2025-12-29,8.192124138200468,stop_loss
2026-01-03,LONG,90696.3937642857,0.36948025656464634,90761.22514687327,2026-01-04,0.3589918589896048,stop_loss
2026-01-05,LONG,93926.29618571428,0.423898215270741,93367.42806833835,2026-01-06,-2.988319224329645,stop_loss
2026-01-07,LONG,91430.19935714285,0.21566662289144223,90647.49579490056,2026-01-08,-4.298167374637614,stop_loss
2026-01-11,SHORT,90862.4726,-0.2967969269012648,91068.1311407463,2026-01-12,-1.1359311803797647,stop_loss
2026-01-18,LONG,93719.72935714285,0.22426974503340955,92573.679515841,2026-01-19,-6.1363930439077246,stop_loss
2026-01-27,LONG,89298.85590714286,0.2094222772073927,89585.78599063838,2026-01-28,1.6114074468024804,stop_loss
2026-01-29,LONG,84701.94548571427,0.3614387236193553,83753.04203507057,2026-01-30,-5.619187913416619,stop_loss
2026-01-31,SHORT,78611.80891428572,-0.2889952927610255,76493.65538065688,2026-02-01,13.507386424949921,stop_loss
2026-02-02,SHORT,78595.825,-0.2521413130127364,73709.61271525054,2026-02-03,31.207501226726833,stop_loss
2026-02-04,SHORT,73045.23134999999,-0.508951909351341,62940.80863454642,2026-02-05,69.6551331763003,stop_loss
2026-02-06,SHORT,70448.32771428571,-0.4594933206331817,68016.84054338222,2026-02-07,10.068750064167645,stop_loss
2026-02-08,SHORT,70190.80575714287,-0.3407149564299977,69050.21054200247,2026-02-09,8.247226694284583,stop_loss
2026-02-10,SHORT,68709.0687,-0.3289474062643136,66469.82333771052,2026-02-11,16.55376610465812,stop_loss
2026-02-12,SHORT,66149.76554285715,-0.4870331551424408,66584.8858840321,2026-02-13,-1.2547888487758967,stop_loss
2026-02-16,SHORT,68769.99875,-0.2489222768600969,67343.40154805189,2026-02-17,10.552730236492831,stop_loss
2026-02-19,SHORT,66888.92835714285,-0.21538256382147022,67153.57188456158,2026-02-20,-2.0147426047075765,stop_loss
2026-02-23,SHORT,64548.44598571429,-0.27239562629293484,63101.257471143035,2026-02-24,11.414738332334164,stop_loss
2026-02-26,SHORT,67367.44351428571,-0.20284147171919364,65603.00955435343,2026-02-27,13.349603487600195,stop_loss
2026-03-01,SHORT,65669.93121428571,-0.3918141048158446,65967.02848830837,2026-03-02,-2.3089432894489716,stop_loss
2026-03-03,SHORT,68211.79102142857,-0.23967467573514734,68107.13607594621,2026-03-04,0.7828584654470256,stop_loss
2026-03-12,LONG,70567.6941357143,0.28585612991185416,73040.43607081127,2026-03-13,17.88088945084886,stop_loss
2026-03-14,LONG,71261.42947142856,0.46337770697719494,72379.92806805421,2026-03-15,8.023375059298624,stop_loss
2026-03-17,LONG,73960.88175714285,0.7675843348719604,73798.55705633454,2026-03-18,-1.122791896243073,stop_loss
2026-03-19,LONG,69970.96907857142,0.2710273150400422,70545.03964484461,2026-03-20,4.196782751847577,stop_loss
2026-03-25,SHORT,71213.27585714286,-0.24813580898376192,68879.2854340788,2026-03-26,7.82520421471085,stop_loss
2026-03-27,SHORT,66284.26622857142,-0.2272874527389391,66627.1758756067,2026-03-28,-2.6494039886818945,stop_loss
2026-03-29,SHORT,65898.28920714285,-0.37366543604928865,66491.6257390467,2026-03-30,-4.6099220043915174,stop_loss
2026-04-02,SHORT,66788.9150357143,-0.22530775839729864,66981.6986788807,2026-04-03,-1.4771919833158749,stop_loss
2026-04-07,LONG,71974.05373571427,0.27349553839266577,72045.43387742914,2026-04-08,0.507469483641306,stop_loss
2026-04-11,LONG,73097.77743571428,0.4308892768226406,72279.29687891292,2026-04-12,-5.729730701265029,stop_loss
2026-04-13,LONG,74471.61078571428,0.3302972243058906,75161.39914020429,2026-04-14,4.737094125718036,stop_loss
2026-04-15,LONG,74863.13187857142,0.32729999978717494,74658.41371011823,2026-04-16,-1.3991887467896698,stop_loss
2026-04-17,LONG,77120.49706428572,0.5679618231733145,76516.14039888937,2026-04-18,-4.009147582032773,stop_loss
2026-04-20,LONG,75879.43492142859,0.2430221185064082,76140.24993435021,2026-04-21,1.7577896885620363,stop_loss
2026-04-23,LONG,78307.77969285715,0.6778548611091942,77670.21783153113,2026-04-24,-4.164380803237557,stop_loss
2026-04-25,LONG,77674.8824642857,0.45998305580641496,78114.74096913669,2026-04-26,2.8952671593597548,stop_loss
2026-04-27,LONG,77420.03612857143,0.3169160202832308,76587.41620504059,2026-04-28,-2.76380150193894,stop_loss
2026-05-06,LONG,81481.19117142858,0.43215986454736816,80773.09329773247,2026-05-07,-1.954931620348737,stop_loss
2026-05-08,LONG,80245.08380714286,0.6631885182057221,80142.7782040003,2026-05-09,-0.6517181546476264,stop_loss
